0,1,2,3,4,5,6,7,8,9,10
meat,salt,,,,,,,,,
whole milk,salty snack,margarine,,,,,,,,
sausage,beverages,,,,,,,,,
yogurt,whole milk,,,,,,,,,
rolls/buns,specialty cheese,domestic eggs,,,,,,,,
tropical fruit,pastry,,,,,,,,,
meat,oil,,,,,,,,,
nuts/prunes,onions,,,,,,,,,
whole milk,salt,,,,,,,,,
hard cheese,coffee,,,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
newspapers,napkins,,,,,,,,,
sausage,pip fruit,,,,,,,,,
light bulbs,cooking chocolate,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
canned beer,ice cream,,,,,,,,,
soda,curd,,,,,,,,,
pip fruit,shopping bags,butter,,,,,,,,
whole milk,other vegetables,pot plants,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
herbs,dessert,yogurt,,,,,,,,
beverages,sausage,white bread,bottled water,,,,,,,
beverages,bottled water,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
whipped/sour cream,canned fish,,,,,,,,,
organic sausage,yogurt,,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
soda,whole milk,oil,,,,,,,,
sausage,rolls/buns,,,,,,,,,
coffee,bottled water,roll products ,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
root vegetables,onions,whole milk,butter,,,,,,,
brown bread,skin care,whipped/sour cream,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,pork,pastry,soda,,,,,,,
frankfurter,fruit/vegetable juice,baking powder,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
fruit/vegetable juice,cat food,,,,,,,,,
sausage,brown bread,,,,,,,,,
meat,canned fish,,,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
dessert,domestic eggs,candles,whole milk,,,,,,,
whole milk,frozen potato products,,,,,,,,,
sliced cheese,shopping bags,,,,,,,,,
pork,butter,napkins,seasonal products,coffee,,,,,,
canned beer,margarine,white bread,,,,,,,,
pastry,soda,,,,,,,,,
soda,yogurt,,,,,,,,,
canned beer,chocolate marshmallow,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
curd,dessert,cling film/bags,,,,,,,,
rolls/buns,onions,napkins,,,,,,,,
sausage,frankfurter,grapes,sausage,dog food,misc. beverages,napkins,artif. sweetener,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
frankfurter,margarine,,,,,,,,,
spread cheese,specialty cheese,dish cleaner,,,,,,,,
tropical fruit,grapes,sugar,,,,,,,,
whole milk,pastry,,,,,,,,,
processed cheese,chocolate,chocolate,yogurt,,,,,,,
frozen meals,margarine,semi-finished bread,,,,,,,,
meat,other vegetables,,,,,,,,,
pip fruit,turkey,,,,,,,,,
ham,brown bread,,,,,,,,,
domestic eggs,whole milk,onions,misc. beverages,,,,,,,
margarine,whole milk,,,,,,,,,
soda,napkins,,,,,,,,,
cookware,sausage,soda,spices,,,,,,,
whole milk,brown bread,,,,,,,,,
curd,spices,,,,,,,,,
whole milk,pork,,,,,,,,,
hygiene articles,white bread,,,,,,,,,
whole milk,whole milk,pastry,,,,,,,,
root vegetables,waffles,,,,,,,,,
frankfurter,pastry,,,,,,,,,
rolls/buns,soda,red/blush wine,,,,,,,,
other vegetables,yogurt,bottled water,,,,,,,,
frankfurter,ice cream,soda,,,,,,,,
curd,soda,whole milk,,,,,,,,
hard cheese,bottled water,specialty fat,,,,,,,,
salty snack,beef,,,,,,,,,
chewing gum,coffee,napkins,brown bread,,,,,,,
meat,pasta,,,,,,,,,
brown bread,tropical fruit,rolls/buns,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
berries,sausage,tropical fruit,butter,,,,,,,
other vegetables,bottled beer,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
yogurt,semi-finished bread,,,,,,,,,
ham,bathroom cleaner,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
chocolate,whole milk,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
hamburger meat,butter milk,seasonal products,,,,,,,,
hamburger meat,citrus fruit,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
frozen meals,red/blush wine,whipped/sour cream,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
root vegetables,sausage,cream cheese ,yogurt,detergent,,,,,,
flour,chocolate marshmallow,,,,,,,,,
sauces,misc. beverages,,,,,,,,,
bottled water,flour,sugar,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
newspapers,soda,female sanitary products,,,,,,,,
tropical fruit,berries,whole milk,soap,,,,,,,
yogurt,rolls/buns,,,,,,,,,
pip fruit,white wine,,,,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
butter,long life bakery product,,,,,,,,,
beef,butter milk,,,,,,,,,
canned beer,frankfurter,chicken,whole milk,softener,vinegar,,,,,
yogurt,brown bread,,,,,,,,,
whole milk,detergent,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
beef,fruit/vegetable juice,whole milk,,,,,,,,
seasonal products,pickled vegetables,,,,,,,,,
liver loaf,processed cheese,canned beer,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
other vegetables,curd,abrasive cleaner,,,,,,,,
sausage,canned beer,whipped/sour cream,,,,,,,,
frankfurter,margarine,,,,,,,,,
photo/film,liquor (appetizer),,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
tropical fruit,rum,flour,,,,,,,,
sausage,pork,pip fruit,other vegetables,hard cheese,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
curd,whole milk,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
meat,sausage,salty snack,white wine,frozen vegetables,beverages,,,,,
margarine,whole milk,berries,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
canned beer,whole milk,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
soups,sugar,seasonal products,bottled beer,,,,,,,
whole milk,newspapers,,,,,,,,,
soda,bottled water,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
sausage,ham,shopping bags,whole milk,butter,,,,,,
root vegetables,baking powder,,,,,,,,,
ham,tropical fruit,,,,,,,,,
frozen potato products,female sanitary products,whole milk,other vegetables,fruit/vegetable juice,,,,,,
beef,tropical fruit,,,,,,,,,
soda,UHT-milk,dessert,napkins,,,,,,,
citrus fruit,pastry,,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
rolls/buns,soda,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
oil,curd,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
soda,oil,,,,,,,,,
dog food,bottled beer,,,,,,,,,
rolls/buns,whipped/sour cream,bottled beer,,,,,,,,
frankfurter,cat food,,,,,,,,,
rolls/buns,make up remover,,,,,,,,,
cat food,other vegetables,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
fish,specialty chocolate,,,,,,,,,
white wine,coffee,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
canned beer,bottled beer,pip fruit,candy,,,,,,,
grapes,pip fruit,photo/film,root vegetables,cling film/bags,,,,,,
soda,pork,,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
canned fish,cling film/bags,,,,,,,,,
sausage,whole milk,cake bar,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
long life bakery product,semi-finished bread,,,,,,,,,
tropical fruit,curd,salt,bottled water,,,,,,,
brown bread,pastry,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
cream cheese ,canned beer,chewing gum,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pet care,butter milk,,,,,,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
whole milk,brown bread,,,,,,,,,
canned beer,turkey,pastry,bottled water,butter,,,,,,
waffles,ketchup,candy,,,,,,,,
shopping bags,hard cheese,yogurt,,,,,,,,
turkey,domestic eggs,,,,,,,,,
misc. beverages,soda,,,,,,,,,
spread cheese,cooking chocolate,,,,,,,,,
canned beer,berries,,,,,,,,,
whole milk,meat,yogurt,yogurt,yogurt,,,,,,
cream cheese ,meat,rolls/buns,yogurt,frozen meals,whipped/sour cream,,,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
beef,salty snack,whole milk,domestic eggs,fruit/vegetable juice,whipped/sour cream,cat food,,,,
sausage,meat,beverages,UHT-milk,frozen dessert,sugar,,,,,
candles,canned fish,oil,,,,,,,,
chicken,flower (seeds),onions,rolls/buns,,,,,,,
dessert,shopping bags,,,,,,,,,
waffles,yogurt,,,,,,,,,
soda,frozen vegetables,cream cheese ,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
dishes,salty snack,,,,,,,,,
frankfurter,dessert,,,,,,,,,
beverages,butter milk,,,,,,,,,
flower soil/fertilizer,rolls/buns,,,,,,,,,
dessert,bottled water,,,,,,,,,
frankfurter,tropical fruit,mustard,,,,,,,,
butter,root vegetables,,,,,,,,,
chicken,pickled vegetables,,,,,,,,,
soda,domestic eggs,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
UHT-milk,processed cheese,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
bottled water,bottled water,,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
sausage,whole milk,,,,,,,,,
pork,cake bar,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
domestic eggs,frozen vegetables,curd,,,,,,,,
root vegetables,butter milk,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,butter,,,,,,,,,
spread cheese,pork,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
whole milk,ice cream,soda,yogurt,spices,,,,,,
rolls/buns,misc. beverages,ice cream,tropical fruit,shopping bags,coffee,popcorn,hygiene articles,,,
citrus fruit,other vegetables,brown bread,,,,,,,,
brown bread,pastry,,,,,,,,,
curd,curd,,,,,,,,,
salty snack,butter,,,,,,,,,
rolls/buns,dental care,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
beverages,packaged fruit/vegetables,,,,,,,,,
soda,soda,,,,,,,,,
soda,brown bread,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
tropical fruit,dishes,other vegetables,,,,,,,,
root vegetables,other vegetables,frozen vegetables,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
other vegetables,pastry,,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
citrus fruit,light bulbs,,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
citrus fruit,roll products ,frozen vegetables,,,,,,,,
rolls/buns,coffee,,,,,,,,,
newspapers,newspapers,,,,,,,,,
whole milk,cleaner,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
other vegetables,whipped/sour cream,whole milk,sugar,,,,,,,
other vegetables,other vegetables,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
margarine,pastry,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
sugar,bottled beer,,,,,,,,,
sweet spreads,frozen fish,,,,,,,,,
citrus fruit,bottled water,butter milk,chocolate,zwieback,shopping bags,,,,,
beef,root vegetables,,,,,,,,,
bottled beer,newspapers,pickled vegetables,mustard,,,,,,,
beverages,sugar,,,,,,,,,
rolls/buns,soda,,,,,,,,,
UHT-milk,yogurt,pastry,UHT-milk,,,,,,,
vinegar,newspapers,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
liqueur,chocolate,,,,,,,,,
waffles,cereals,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,chicken,margarine,yogurt,,,,,,,
hamburger meat,beverages,margarine,,,,,,,,
domestic eggs,butter,,,,,,,,,
ham,other vegetables,,,,,,,,,
other vegetables,fruit/vegetable juice,oil,detergent,,,,,,,
liquor,long life bakery product,,,,,,,,,
canned beer,citrus fruit,rolls/buns,condensed milk,skin care,,,,,,
chicken,pip fruit,,,,,,,,,
sausage,ketchup,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
pip fruit,yogurt,syrup,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
chicken,dessert,,,,,,,,,
beef,brown bread,frozen fish,,,,,,,,
specialty bar,soda,,,,,,,,,
grapes,coffee,,,,,,,,,
root vegetables,napkins,,,,,,,,,
pork,yogurt,,,,,,,,,
hard cheese,tropical fruit,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
chicken,soda,shopping bags,,,,,,,,
canned beer,frozen dessert,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pastry,other vegetables,,,,,,,,,
pork,red/blush wine,,,,,,,,,
whole milk,soda,shopping bags,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
coffee,white bread,,,,,,,,,
curd,shopping bags,,,,,,,,,
root vegetables,brown bread,domestic eggs,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
sausage,rolls/buns,,,,,,,,,
soda,chewing gum,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
fruit/vegetable juice,soft cheese,,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
citrus fruit,grapes,,,,,,,,,
whole milk,waffles,,,,,,,,,
sausage,bottled water,,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
other vegetables,pot plants,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
yogurt,shopping bags,coffee,,,,,,,,
curd,specialty chocolate,flour,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
sausage,dessert,,,,,,,,,
cake bar,butter milk,,,,,,,,,
rolls/buns,house keeping products,,,,,,,,,
chicken,citrus fruit,other vegetables,margarine,hard cheese,soft cheese,,,,,
yogurt,newspapers,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pip fruit,canned fish,organic sausage,pastry,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
pip fruit,spices,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
tropical fruit,rolls/buns,candy,,,,,,,,
soda,whole milk,,,,,,,,,
soda,liquor,,,,,,,,,
sausage,herbs,,,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
frozen meals,bottled beer,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
rolls/buns,canned beer,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
tropical fruit,skin care,,,,,,,,,
rolls/buns,pork,,,,,,,,,
packaged fruit/vegetables,frozen fruits,rolls/buns,,,,,,,,
seasonal products,white wine,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
domestic eggs,soda,,,,,,,,,
chicken,artif. sweetener,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
light bulbs,frozen vegetables,mustard,napkins,,,,,,,
dessert,frozen vegetables,,,,,,,,,
whole milk,cat food,,,,,,,,,
citrus fruit,whole milk,UHT-milk,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,bottled water,whole milk,ketchup,soda,chewing gum,,,,,
citrus fruit,yogurt,,,,,,,,,
dessert,mayonnaise,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
sausage,coffee,female sanitary products,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
grapes,domestic eggs,,,,,,,,,
root vegetables,soda,,,,,,,,,
whole milk,yogurt,,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
root vegetables,hard cheese,pastry,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
salty snack,pastry,oil,,,,,,,,
canned beer,pastry,,,,,,,,,
tropical fruit,prosecco,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
other vegetables,potato products,napkins,,,,,,,,
whole milk,whipped/sour cream,long life bakery product,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
bottled water,whole milk,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
brown bread,pip fruit,,,,,,,,,
whole milk,beef,canned beer,,,,,,,,
pork,processed cheese,,,,,,,,,
curd,bottled beer,hamburger meat,sweet spreads,,,,,,,
butter,rolls/buns,cream cheese ,flour,,,,,,,
chicken,onions,,,,,,,,,
honey,yogurt,spices,chocolate,,,,,,,
whole milk,other vegetables,other vegetables,sugar,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
other vegetables,dishes,,,,,,,,,
pastry,sliced cheese,,,,,,,,,
sausage,curd,fruit/vegetable juice,,,,,,,,
coffee,shopping bags,,,,,,,,,
hard cheese,shopping bags,,,,,,,,,
frankfurter,whole milk,whole milk,,,,,,,,
frozen vegetables,liquor (appetizer),,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
dessert,herbs,waffles,,,,,,,,
frankfurter,yogurt,cat food,,,,,,,,
beef,hard cheese,,,,,,,,,
ham,brown bread,,,,,,,,,
brandy,domestic eggs,,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
citrus fruit,soda,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
frankfurter,white bread,,,,,,,,,
newspapers,margarine,bottled beer,coffee,,,,,,,
sausage,prosecco,pot plants,,,,,,,,
UHT-milk,butter milk,napkins,,,,,,,,
napkins,yogurt,,,,,,,,,
red/blush wine,butter,soda,,,,,,,,
coffee,sausage,salt,white wine,,,,,,,
ham,pickled vegetables,newspapers,,,,,,,,
frozen meals,onions,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
chewing gum,other vegetables,pip fruit,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
newspapers,napkins,,,,,,,,,
sausage,specialty fat,,,,,,,,,
sauces,rolls/buns,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
dessert,chewing gum,,,,,,,,,
domestic eggs,specialty bar,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
meat,yogurt,soda,red/blush wine,,,,,,,
snack products,soups,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
processed cheese,dishes,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
beverages,beverages,sugar,pasta,domestic eggs,,,,,,
berries,grapes,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pastry,whole milk,other vegetables,rolls/buns,,,,,,,
cleaner,other vegetables,,,,,,,,,
white wine,spread cheese,,,,,,,,,
root vegetables,rice,,,,,,,,,
pastry,curd,bottled beer,,,,,,,,
frankfurter,whole milk,,,,,,,,,
mayonnaise,domestic eggs,,,,,,,,,
rolls/buns,root vegetables,frozen vegetables,waffles,,,,,,,
pasta,newspapers,,,,,,,,,
hamburger meat,fruit/vegetable juice,,,,,,,,,
soda,soups,,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
photo/film,frankfurter,other vegetables,curd,waffles,,,,,,
pip fruit,grapes,pastry,,,,,,,,
meat,beef,yogurt,yogurt,,,,,,,
soda,shopping bags,,,,,,,,,
pet care,frozen vegetables,spices,,,,,,,,
bottled water,whole milk,,,,,,,,,
pip fruit,butter milk,,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
onions,frozen vegetables,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
beverages,soda,,,,,,,,,
whole milk,grapes,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
white wine,soft cheese,,,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
tropical fruit,canned fish,,,,,,,,,
whole milk,light bulbs,,,,,,,,,
dessert,curd,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
chicken,whole milk,rolls/buns,,,,,,,,
brown bread,ketchup,soda,,,,,,,,
butter,whole milk,,,,,,,,,
root vegetables,frozen dessert,beverages,,,,,,,,
pork,rolls/buns,,,,,,,,,
whole milk,baking powder,,,,,,,,,
fish,candy,rolls/buns,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
photo/film,onions,,,,,,,,,
butter,yogurt,,,,,,,,,
bottled water,hair spray,processed cheese,,,,,,,,
cookware,spread cheese,,,,,,,,,
beef,rolls/buns,,,,,,,,,
frankfurter,hard cheese,bottled beer,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
liquor,rolls/buns,frozen meals,,,,,,,,
meat,pork,,,,,,,,,
butter,berries,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
canned beer,soda,other vegetables,canned vegetables,,,,,,,
soda,artif. sweetener,salty snack,,,,,,,,
other vegetables,whole milk,yogurt,hard cheese,bottled beer,,,,,,
liver loaf,newspapers,white wine,,,,,,,,
candy,candy,,,,,,,,,
sausage,frozen meals,soda,,,,,,,,
salty snack,bottled water,,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
napkins,cake bar,,,,,,,,,
onions,bottled beer,,,,,,,,,
dessert,other vegetables,,,,,,,,,
sausage,whole milk,root vegetables,soft cheese,,,,,,,
root vegetables,yogurt,soda,shopping bags,oil,shopping bags,,,,,
herbs,chocolate,,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
bottled water,curd,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
berries,newspapers,,,,,,,,,
pet care,beef,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
abrasive cleaner,yogurt,frozen meals,,,,,,,,
detergent,rolls/buns,,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
ice cream,root vegetables,,,,,,,,,
whole milk,sugar,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
yogurt,pastry,,,,,,,,,
rolls/buns,specialty chocolate,napkins,,,,,,,,
soda,flour,,,,,,,,,
frankfurter,pastry,canned beer,pastry,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
UHT-milk,soda,whole milk,whole milk,,,,,,,
dessert,soda,,,,,,,,,
sausage,chewing gum,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
pork,dessert,,,,,,,,,
curd,yogurt,misc. beverages,pickled vegetables,,,,,,,
root vegetables,butter,,,,,,,,,
whole milk,whole milk,,,,,,,,,
brown bread,margarine,,,,,,,,,
root vegetables,UHT-milk,nuts/prunes,frankfurter,misc. beverages,whole milk,cream cheese ,canned fish,,,
root vegetables,tropical fruit,,,,,,,,,
canned beer,curd,pastry,,,,,,,,
artif. sweetener,bottled water,butter milk,butter,soda,,,,,,
sausage,bottled water,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
bottled beer,pip fruit,condensed milk,pot plants,cling film/bags,soda,shopping bags,,,,
frozen dessert,beef,citrus fruit,root vegetables,,,,,,,
tropical fruit,pasta,napkins,,,,,,,,
other vegetables,beverages,,,,,,,,,
ham,pastry,,,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
sausage,house keeping products,,,,,,,,,
whole milk,pork,,,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
sausage,canned beer,newspapers,tropical fruit,newspapers,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
beverages,sugar,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
butter milk,root vegetables,,,,,,,,,
whole milk,soft cheese,frozen vegetables,,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
soda,hard cheese,,,,,,,,,
ice cream,herbs,,,,,,,,,
newspapers,berries,,,,,,,,,
whipped/sour cream,root vegetables,baking powder,,,,,,,,
chicken,brown bread,bottled beer,,,,,,,,
whole milk,bottled water,honey,,,,,,,,
other vegetables,whole milk,,,,,,,,,
berries,whole milk,sugar,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
soda,yogurt,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
ham,brown bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
onions,ice cream,,,,,,,,,
whole milk,newspapers,soda,whipped/sour cream,,,,,,,
meat,bottled water,,,,,,,,,
semi-finished bread,margarine,butter,,,,,,,,
whole milk,root vegetables,,,,,,,,,
curd,domestic eggs,,,,,,,,,
chicken,root vegetables,dish cleaner,,,,,,,,
other vegetables,soda,rolls/buns,dishes,,,,,,,
citrus fruit,soda,,,,,,,,,
rolls/buns,citrus fruit,fruit/vegetable juice,,,,,,,,
whipped/sour cream,oil,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
meat,other vegetables,margarine,,,,,,,,
tropical fruit,whole milk,whole milk,potato products,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
domestic eggs,cat food,,,,,,,,,
fruit/vegetable juice,herbs,dishes,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
citrus fruit,sauces,long life bakery product,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
chicken,sugar,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
sausage,detergent,,,,,,,,,
whole milk,waffles,dog food,,,,,,,,
berries,whipped/sour cream,bottled water,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
nut snack,bottled beer,,,,,,,,,
pork,sugar,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
sausage,napkins,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
whole milk,ice cream,,,,,,,,,
fruit/vegetable juice,sausage,whole milk,pip fruit,,,,,,,
coffee,hard cheese,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
napkins,bottled beer,,,,,,,,,
frankfurter,condensed milk,,,,,,,,,
chicken,salt,,,,,,,,,
whole milk,other vegetables,curd,,,,,,,,
beef,hamburger meat,,,,,,,,,
frankfurter,soda,,,,,,,,,
whole milk,pastry,chewing gum,shopping bags,,,,,,,
pastry,liquor,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
oil,butter milk,cling film/bags,pastry,,,,,,,
specialty bar,dog food,cream cheese ,,,,,,,,
brown bread,frozen meals,cat food,white bread,,,,,,,
specialty chocolate,chewing gum,,,,,,,,,
